mirs	group	control
let-7b-5p	100.449701085128	36.1869040260479
let-7c-5p	76.2299832524764	23.6052937423761
miR-125a-5p	77.4618849388749	43.2482461758742
miR-130b-3p	126.953044937488	43.191566860501
miR-141-3p	92.3223786122927	25.8359442125066
miR-1469	73.4781430818686	60.971866508971
miR-16-5p	125.981363696241	28.0117275931901
miR-17-5p	84.8749994596914	24.7304090194249
miR-181a-5p	150.392698457331	47.4058176884373
miR-181b-5p	77.6924379674036	22.5489771919379
miR-193b-3p	134.616798964214	66.9785908222171
miR-222-3p	142.963025328076	57.3678400207021
miR-2392	115.623397575838	51.6139169631133
miR-25-3p	88.9933768093799	35.7257356138654
miR-26a-5p	113.975458433389	35.2537177841648
miR-27a-3p	124.620842633639	27.5419123213315
miR-27b-3p	85.3884250567815	21.5505963637916
miR-29a-3p	145.549919942364	64.4579930315095
miR-29b-3p	111.181171611226	34.86090634781
miR-29c-3p	74.2980455325907	28.3970467348551
miR-3192-3p	73.2067025839548	49.9857146159804
miR-320b	123.882471986855	57.6807007765286
miR-320c	126.552547126803	54.920752187822
miR-320d	133.121739357251	46.154792025415
miR-320e	146.227409297507	58.2176196441138
miR-3615	74.650944447688	48.3801806048859
miR-3652	86.888854145353	51.3365670191864
miR-3667-3p	110.769919527008	65.6554066223797
miR-378a-3p	127.424204199297	40.6782560966375
miR-378i	95.0638647881411	29.6434867179122
miR-3937	123.766892037758	61.7511245469425
miR-422a	113.367289346643	26.9623560630353
miR-4299	74.0952405047045	54.9324988553703
miR-4429	160.893784947894	64.8912634239663
miR-4449	85.9738104326018	54.9749341932503
miR-4530	113.422957601494	49.2111077420928
miR-4665-5p	87.5850283792857	39.942782273731
miR-4681	117.334010670944	63.9738919645219
miR-4757-3p	82.9949784494518	52.7764872023262
miR-4795-3p	74.8775189890795	43.8795201813506
miR-4795-5p	94.0493158553985	47.0476473509321
miR-5000-5p	116.985906331278	63.2864552265405
miR-605-3p	93.1876427059098	53.7637640451907
miR-6088	117.037135458646	27.6546559851209
miR-6738-5p	94.651727410395	39.8392762874312
miR-7-5p	112.322713475617	61.5984822213528
miR-7150	77.9291268424445	42.4783994893054
miR-7155-3p	102.364070798672	60.2522126210923
miR-7155-5p	96.8498637340767	62.6436210888303
miR-7855-5p	80.7637693513288	40.0744214182556
miR-8064	75.5468858997338	32.931107750487
miR-920	287.288567402093	69.1225761838268
miR-92a-3p	153.217911714283	54.5456548729113
miR-93-5p	89.7478530964415	30.638175167761
miR-940	81.4694330596441	48.5569712972185
