sample	Run	LaneID	Tissue	none2	Treatment	Sampletype	Experimentdate	none	Group
1	1	A1		VK	L. crispatus	Exosomes	7/13/2015		L. crispatus
2	1	B1		VK	L. crispatus	Exosomes	7/13/2015		L. crispatus
3	1	C1		VK	L. crispatus	Exosomes	7/13/2015		L. crispatus
4	1	D1		VK	L. crispatus	Exosomes	7/13/2015		L. crispatus
5	1	E1		VK	P. bivia	Exosomes	7/13/2015		P. bivia
6	1	F1		VK	P. bivia	Exosomes	7/13/2015		P. bivia
7	1	G1		VK	P. bivia	Exosomes	7/13/2015		P. bivia
8	1	H1		VK	P. bivia	Exosomes	7/13/2015		P. bivia
9	1	A2		VK	T. vag UR1	Exosomes	7/13/2015		T. vag UR1
10	1	B2		VK	T. vag UR1	Exosomes	7/13/2015		T. vag UR1
11	1	C2		VK	T. vag UR1	Exosomes	7/13/2015		T. vag UR1
12	1	D2		VK	T. vag UR1	Exosomes	7/13/2015		T. vag UR1
13	1	E2		VK	Control	Exosomes	7/13/2015		Control
14	1	F2		VK	Control	Exosomes	7/13/2015		Control
15	1	G2		VK	Control	Exosomes	7/13/2015		Control
16	1	H2		VK	Control	Exosomes	7/13/2015		Control
17	1	A3		VK	L. crispatus	Exosomes	6/18/2015 (Pool)		L. crispatus
18	1	B3		VK	L. crispatus	Exosomes	6/18/2015 (Pool)		L. crispatus
19	1	C3		VK	P. bivia	Exosomes	6/18/2015 (Pool)		P. bivia
20	1	D3		VK	P. bivia	Exosomes	6/18/2015 (Pool)		P. bivia
21	1	E3		VK	T. vag UR1	Exosomes	6/18/2015 (Pool)		T. vag UR1
22	1	F3		VK	T. vag UR1	Exosomes	6/18/2015 (Pool)		T. vag UR1
23	1	G3		VK	Control	Exosomes	6/18/2015 (Pool)		Control
24	1	H3		VK	Control	Exosomes	6/18/2015 (Pool)		Control
25	2	A1		VK	L. crispatus	Exosomes	7/21/2015		L. crispatus
26	2	B1		VK	L. crispatus	Exosomes	7/21/2015		L. crispatus
27	2	C1		VK	L. crispatus	Exosomes	7/21/2015		L. crispatus
28	2	D1		VK	L. crispatus	Exosomes	7/21/2015		L. crispatus
29	2	E1		VK	P. bivia	Exosomes	7/21/2015		P. bivia
30	2	F1		VK	P. bivia	Exosomes	7/21/2015		P. bivia
31	2	G1		VK	P. bivia	Exosomes	7/21/2015		P. bivia
32	2	H1		VK	P. bivia	Exosomes	7/21/2015		P. bivia
33	2	A2		VK	T. vag UR1	Exosomes	7/21/2015		T. vag UR1
34	2	B2		VK	T. vag UR1	Exosomes	7/21/2015		T. vag UR1
35	2	C2		VK	T. vag UR1	Exosomes	7/21/2015		T. vag UR1
36	2	D2		VK	T. vag UR1	Exosomes	7/21/2015		T. vag UR1
37	2	E2		VK	Control	Exosomes	7/21/2015		Control
38	2	F2		VK	Control	Exosomes	7/21/2015		Control
39	2	G2		VK	Control	Exosomes	7/21/2015		Control
40	2	H2		VK	Control	Exosomes	7/21/2015		Control
41	2	A3		VK	L. crispatus	Exosomes	6/18/2015 (Pool)		L. crispatus
42	2	B3		VK	L. crispatus	Exosomes	6/18/2015 (Pool)		L. crispatus
43	2	C3		VK	P. bivia	Exosomes	6/18/2015 (Pool)		P. bivia
44	2	D3		VK	P. bivia	Exosomes	6/18/2015 (Pool)		P. bivia
45	2	E3		VK	T. vag UR1	Exosomes	6/18/2015 (Pool)		T. vag UR1
46	2	F3		VK	T. vag UR1	Exosomes	6/18/2015 (Pool)		T. vag UR1
47	2	G3		VK	Control	Exosomes	6/18/2015 (Pool)		Control
48	2	H3		VK	Control	Exosomes	6/18/2015 (Pool)		Control
49	3	A1		VK	L. crispatus	Exosomes	7/26/2015		L. crispatus
50	3	B1		VK	L. crispatus	Exosomes	7/26/2015		L. crispatus
51	3	C1		VK	L. crispatus	Exosomes	7/26/2015		L. crispatus
52	3	D1		VK	L. crispatus	Exosomes	7/26/2015		L. crispatus
53	3	E1		VK	P. bivia	Exosomes	7/26/2015		P. bivia
54	3	F1		VK	P. bivia	Exosomes	7/26/2015		P. bivia
55	3	G1		VK	P. bivia	Exosomes	7/26/2015		P. bivia
56	3	H1		VK	P. bivia	Exosomes	7/26/2015		P. bivia
57	3	A2		VK	T. vag UR1	Exosomes	7/26/2015		T. vag UR1
58	3	B2		VK	T. vag UR1	Exosomes	7/26/2015		T. vag UR1
59	3	C2		VK	T. vag UR1	Exosomes	7/26/2015		T. vag UR1
60	3	D2		VK	T. vag UR1	Exosomes	7/26/2015		T. vag UR1
61	3	E2		VK	Control	Exosomes	7/26/2015		Control
62	3	F2		VK	Control	Exosomes	7/26/2015		Control
63	3	G2		VK	Control	Exosomes	7/26/2015		Control
64	3	H2		VK	Control	Exosomes	7/26/2015		Control
65	3	A3		VK	L. crispatus	Exosomes	6/18/2015 (Pool)		L. crispatus
66	3	B3		VK	L. crispatus	Exosomes	6/18/2015 (Pool)		L. crispatus
67	3	C3		VK	P. bivia	Exosomes	6/18/2015 (Pool)		P. bivia
68	3	D3		VK	P. bivia	Exosomes	6/18/2015 (Pool)		P. bivia
69	3	E3		VK	T. vag UR1	Exosomes	6/18/2015 (Pool)		T. vag UR1
70	3	F3		VK	T. vag UR1	Exosomes	6/18/2015 (Pool)		T. vag UR1
71	3	G3		VK	Control	Exosomes	6/18/2015 (Pool)		Control
72	3	H3		VK	Control	Exosomes	6/18/2015 (Pool)		Control
